UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1,14860,M,298.1,308.6,1551,42.8,0,0,No Failure
2,47181,L,298.2,308.7,1408,46.3,3,0,No Failure
3,47182,L,298.1,308.5,1498,49.4,5,0,No Failure
4,47183,L,298.2,308.6,1433,39.5,7,0,No Failure
5,47184,L,298.2,308.7,1408,40.0,9,0,No Failure
6,14865,M,298.1,308.6,1425,41.9,11,0,No Failure
7,47186,L,298.1,308.6,1558,42.4,14,0,No Failure
8,47187,L,298.1,308.6,1527,40.2,16,0,No Failure
9,14868,M,298.3,308.7,1667,28.6,18,0,No Failure
10,14869,M,298.5,309.0,1741,28.0,21,0,No Failure
11,29424,H,298.4,308.9,1782,23.9,24,0,No Failure
12,29425,H,298.6,309.1,1423,44.3,29,0,No Failure
13,14872,M,298.6,309.1,1339,51.1,34,0,No Failure
14,14873,M,298.6,309.2,1742,30.0,37,0,No Failure
15,47194,L,298.6,309.2,2035,19.6,40,0,No Failure
16,47195,L,298.6,309.2,1542,48.4,42,0,No Failure
17,14876,M,298.6,309.2,1311,46.6,44,0,No Failure
18,14877,M,298.7,309.2,1410,45.6,47,0,No Failure
19,29432,H,298.8,309.2,1306,54.5,50,0,No Failure
20,14879,M,298.9,309.3,1632,32.5,55,0,No Failure
21,29434,H,298.9,309.3,1375,42.7,58,0,No Failure
22,47201,L,298.8,309.3,1450,44.8,63,0,No Failure
23,14882,M,298.9,309.3,1581,30.7,65,0,No Failure
24,47203,L,299.0,309.4,1758,25.7,68,0,No Failure
25,14884,M,299.0,309.4,1561,37.3,70,0,No Failure
26,47205,L,299.0,309.5,1861,23.3,73,0,No Failure
27,47206,L,299.1,309.5,1512,39.0,75,0,No Failure
28,29441,H,299.1,309.4,1811,24.6,77,0,No Failure
29,47208,L,299.1,309.4,1439,44.2,82,0,No Failure
30,47209,L,299.0,309.4,1693,30.1,84,0,No Failure
31,14890,M,299.1,309.5,1339,48.2,86,0,No Failure
32,47211,L,299.0,309.4,1798,25.5,89,0,No Failure
33,47212,L,299.0,309.4,1419,48.3,91,0,No Failure
34,47213,L,298.9,309.3,1665,32.5,93,0,No Failure
35,14894,M,298.8,309.1,1559,34.7,95,0,No Failure
36,14895,M,298.8,309.2,1452,48.6,98,0,No Failure
37,14896,M,298.9,309.2,1581,36.7,101,0,No Failure
38,47217,L,298.8,309.1,1439,39.2,104,0,No Failure
39,29452,H,298.9,309.2,1379,50.7,106,0,No Failure
40,47219,L,298.8,309.1,1350,52.5,111,0,No Failure
41,47220,L,298.8,309.1,1362,45.4,113,0,No Failure
42,47221,L,298.8,309.1,1368,50.8,115,0,No Failure
43,14902,M,298.8,309.1,1368,49.1,117,0,No Failure
44,29457,H,298.8,309.2,1372,48.5,120,0,No Failure
45,14904,M,298.8,309.1,1472,47.5,125,0,No Failure
46,47225,L,298.8,309.1,1489,49.1,128,0,No Failure
47,14906,M,298.7,309.0,1843,25.8,130,0,No Failure
48,47227,L,298.8,309.1,1418,46.3,133,0,No Failure
49,29462,H,298.8,309.2,1425,53.9,135,0,No Failure
50,14909,M,298.9,309.2,1412,44.1,140,0,No Failure
51,47230,L,298.9,309.1,2861,4.6,143,1,Power Failure
52,47231,L,298.9,309.1,1383,54.9,145,0,No Failure
53,29466,H,298.8,309.0,1497,43.8,147,0,No Failure
54,47233,L,298.7,309.0,1565,35.1,152,0,No Failure
55,47234,L,298.7,309.0,1691,30.1,154,0,No Failure
56,47235,L,298.8,309.1,1512,40.7,156,0,No Failure
